latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
33.14391,75.37536,303.62,1.64,1.26,2026-05-01,0434,Terra,MODIS,39,6.1NRT,289.32,9.19,D
33.14711,75.35851,301.63,1.63,1.26,2026-05-01,0434,Terra,MODIS,14,6.1NRT,289.32,6.81,D
29.71935,75.35636,320.56,1.93,1.36,2026-05-01,0434,Terra,MODIS,68,6.1NRT,303.59,16.3,D
29.80653,75.71288,322.03,2.04,1.39,2026-05-01,0434,Terra,MODIS,72,6.1NRT,303.03,22.43,D
29.81035,75.69279,322.87,2.03,1.39,2026-05-01,0434,Terra,MODIS,73,6.1NRT,303.09,24.13,D
29.814,75.70043,327.99,2.03,1.39,2026-05-01,0434,Terra,MODIS,79,6.1NRT,303.52,40.82,D
29.82965,75.62083,322.26,2,1.38,2026-05-01,0434,Terra,MODIS,72,6.1NRT,303.08,21.93,D
29.8653,75.97705,320.41,2.12,1.41,2026-05-01,0434,Terra,MODIS,71,6.1NRT,302.97,17.66,D
30.12456,75.44363,320.65,1.92,1.35,2026-05-01,0434,Terra,MODIS,70,6.1NRT,303.11,16.58,D
30.2275,75.68514,318.79,1.98,1.37,2026-05-01,0434,Terra,MODIS,69,6.1NRT,302.82,15.25,D
30.26853,75.95432,320.32,2.07,1.4,2026-05-01,0434,Terra,MODIS,73,6.1NRT,302.27,20.1,D
30.68836,74.40695,338.03,1.6,1.24,2026-05-01,0434,Terra,MODIS,87,6.1NRT,307.61,50.7,D
30.69317,74.39732,324.37,1.59,1.24,2026-05-01,0434,Terra,MODIS,73,6.1NRT,306.82,15.14,D
30.41906,76.20271,316.58,2.13,1.42,2026-05-01,0434,Terra,MODIS,66,6.1NRT,300.49,17.3,D
31.16759,75.87356,317.44,1.95,1.36,2026-05-01,0434,Terra,MODIS,75,6.1NRT,301.36,13.58,D
31.27942,76.09669,318.76,2,1.38,2026-05-01,0434,Terra,MODIS,77,6.1NRT,300.54,21.9,D
31.44296,75.79656,314.15,1.9,1.35,2026-05-01,0434,Terra,MODIS,66,6.1NRT,299.91,12.17,D
31.60318,75.55714,323.01,1.81,1.32,2026-05-01,0434,Terra,MODIS,75,6.1NRT,303.39,19.86,D
23.41191,77.55086,322.91,3.87,1.83,2026-05-01,0436,Terra,MODIS,56,6.1NRT,300.09,52.52,D
24.01159,69.55219,322.26,1.1,1.04,2026-05-01,0436,Terra,MODIS,63,6.1NRT,305.89,7.58,D
24.01323,69.54175,324.61,1.1,1.04,2026-05-01,0436,Terra,MODIS,69,6.1NRT,306.06,10.3,D
23.40368,77.54403,325.25,3.87,1.83,2026-05-01,0436,Terra,MODIS,67,6.1NRT,300.08,71.41,D
18.90785,74.81474,322.94,3.05,1.66,2026-05-01,0438,Terra,MODIS,61,6.1NRT,307.74,36.67,D
18.95112,73.34031,320.55,2.34,1.48,2026-05-01,0438,Terra,MODIS,44,6.1NRT,303.83,24.78,D
20.95871,85.15977,317.96,2.44,1.51,2026-05-01,0858,Aqua,MODIS,46,6.1NRT,298.28,18.87,D
20.96173,85.16386,318.81,2.44,1.51,2026-05-01,0858,Aqua,MODIS,17,6.1NRT,298.39,19.36,D
25.08123,83.08382,320.51,2.8,1.6,2026-05-01,0900,Aqua,MODIS,53,6.1NRT,298.46,21.81,D
27.52696,79.88255,319.24,4.14,1.88,2026-05-01,0902,Aqua,MODIS,72,6.1NRT,295.89,53.83,D
